x,vx,y,vy
1.074058197783645170e+02,2.474146704079840831e+00,1.158567176032704253e+02,1.383285535388022502e+01
1.064670886215218388e+02,1.780800042741788936e+00,1.169804980460085915e+02,1.398057122435833399e+01
1.082042043547091623e+02,1.210118669669288272e+00,1.186807066123153049e+02,1.416185183431576000e+01
1.088596476932018504e+02,7.070966729556867891e-01,1.187715925164734045e+02,1.415450091781264241e+01
1.104097030966196371e+02,-9.803169673134315421e-02,1.237581246689274366e+02,1.423474983124920001e+01
1.080973267119793206e+02,-6.951180593967816179e-01,1.241117088822699515e+02,1.409763953116168089e+01
1.056738607624490669e+02,-1.235390428712974220e+00,1.246915974572170711e+02,1.405966409748276646e+01
1.090600790467795775e+02,-1.774889944783655693e+00,1.244435751959353382e+02,1.406423219901465949e+01
1.096041203356135156e+02,-2.470130764186411643e+00,1.267165398975767374e+02,1.392048490203444366e+01
1.050781637378596685e+02,-3.108560760475905127e+00,1.314983982920287531e+02,1.381258363880969320e+01
1.046884187292177728e+02,-3.631121028977573051e+00,1.317372559273925390e+02,1.374800918994693966e+01
1.040924914518992779e+02,-4.155628157841112724e+00,1.330994363625812582e+02,1.343450919561020918e+01
1.036854060706263851e+02,-4.899956478952518957e+00,1.330006734849816610e+02,1.333373816036147907e+01
1.033993730281466412e+02,-5.329911051689263601e+00,1.325560648523525913e+02,1.316155394964212100e+01
1.045889155183056261e+02,-5.966295765874487955e+00,1.361048280791589775e+02,1.278480244807655808e+01
1.035131404030986602e+02,-6.435082153774771996e+00,1.355647640598793373e+02,1.262238025859482704e+01
1.046320383396799087e+02,-6.976321116371245523e+00,1.392246464920584685e+02,1.234670339527002447e+01
1.029094461800536635e+02,-7.592625687019939562e+00,1.393739936496769758e+02,1.196712213844889838e+01
9.945208927803470544e+01,-8.205863393635423719e+00,1.388225200611737478e+02,1.165404405818186184e+01
1.030075821892635872e+02,-8.550669351949265362e+00,1.395533718213693817e+02,1.112883643002039769e+01
9.763073508954762758e+01,-9.011186878420728519e+00,1.412490839791862811e+02,1.083090561546999808e+01
1.011890310586806834e+02,-9.646997431961562341e+00,1.443649062736971018e+02,1.042250350874311060e+01
9.769167888330758842e+01,-1.007290474502693023e+01,1.469803224017846333e+02,9.965555886473296709e+00
9.620990834000937753e+01,-1.049692550061814522e+01,1.471244833113928792e+02,9.607980887571564210e+00
9.416471640513849195e+01,-1.078669920019261497e+01,1.444335941836265818e+02,9.012029443381219806e+00
9.225843875032352059e+01,-1.123613790936382451e+01,1.488944428324665239e+02,8.674510695844137587e+00
9.561084432500787500e+01,-1.162024266028580044e+01,1.468509045209693511e+02,8.023211688489823246e+00
9.156792618335300915e+01,-1.192154818272343597e+01,1.496429936211566769e+02,7.536733266504097806e+00
8.890359984010240169e+01,-1.221837689870415034e+01,1.519149000297581438e+02,7.147944402623211957e+00
8.825385608815111027e+01,-1.254403813448420735e+01,1.520315749487130574e+02,6.622736935299109895e+00
8.935130559343866707e+01,-1.277634554600341055e+01,1.527211887199491116e+02,5.950266053493404428e+00
8.653638023916913369e+01,-1.302361083945519660e+01,1.494822344487743635e+02,5.369879468417680712e+00
8.697476285798876461e+01,-1.332054888871692810e+01,1.497215773079078076e+02,4.898432306948818038e+00
8.423944438894788789e+01,-1.343505058516669415e+01,1.530797466722268041e+02,4.248751801864072419e+00
8.382574655671594144e+01,-1.370267272551264526e+01,1.529518819992737235e+02,3.581449428835103088e+00
8.407809956180030042e+01,-1.389366349931370870e+01,1.507848647370372817e+02,2.996019276266745024e+00
7.939163267363406362e+01,-1.395306450596809178e+01,1.523755481626681387e+02,2.495870583830356093e+00
7.722556484330300464e+01,-1.407459651961892177e+01,1.554174931965598319e+02,1.930884180576448284e+00
7.873627842147746492e+01,-1.407434558522436596e+01,1.521953450850776903e+02,1.215988171821534403e+00
7.735697555153191729e+01,-1.413903465564164819e+01,1.525947053761562699e+02,6.137609169729645320e-01
7.242291413353727592e+01,-1.407632554921157819e+01,1.529696050059392860e+02,-8.281544469405893727e-02
7.476185407146978434e+01,-1.404826010802275604e+01,1.558329455249536011e+02,-6.048560966260574379e-01
7.056574261688022887e+01,-1.414263197387744420e+01,1.543336134804546305e+02,-1.137593520253217916e+00
7.015205727489335175e+01,-1.410137574106546055e+01,1.510570320136183113e+02,-1.780463700977815034e+00
7.021317388221423528e+01,-1.388031575709763032e+01,1.523527936788064778e+02,-2.418886664238355522e+00
6.761701174814851356e+01,-1.372408976678089765e+01,1.537910004918913387e+02,-3.112356726012075026e+00
6.446264438663357055e+01,-1.369527577271177776e+01,1.542770862010943915e+02,-3.678581755175513113e+00
6.417050402867602088e+01,-1.352846294700404250e+01,1.536841478449549072e+02,-4.297830072244646971e+00
6.164565356927493411e+01,-1.336632794005760339e+01,1.514706660833254830e+02,-4.786817058966169824e+00
6.349496338676529916e+01,-1.309637720314560738e+01,1.516343538291947937e+02,-5.380840060367813926e+00
6.218785363644065711e+01,-1.288480248712522425e+01,1.524799442897893584e+02,-5.928272516771074585e+00
5.953781888176892778e+01,-1.248419439104184470e+01,1.480015989101966341e+02,-6.589832571475382927e+00
6.049777991645961350e+01,-1.223806783366017115e+01,1.495230755674932368e+02,-6.976720932331665459e+00
5.553510675516122319e+01,-1.195337259324583279e+01,1.489230954869498191e+02,-7.555193269003497747e+00
5.513678704659950824e+01,-1.150152056545363699e+01,1.451671901157137938e+02,-8.165797512706081562e+00
5.677859594749968153e+01,-1.127200609222905747e+01,1.478558882129347012e+02,-8.564679629651717363e+00
5.218244056614180693e+01,-1.092974300411476563e+01,1.468501925778835187e+02,-9.095073307107922389e+00
5.417585737171346949e+01,-1.037717410783105976e+01,1.428056017224074594e+02,-9.518818775671705978e+00
5.302353137129722427e+01,-9.902096051114702036e+00,1.422041210906781714e+02,-1.009808463200948303e+01
5.203280779395841193e+01,-9.557306867440757969e+00,1.436992696636805249e+02,-1.043652463864289004e+01
5.253199528652553596e+01,-9.092609071031395374e+00,1.432487933366534207e+02,-1.088489804937360894e+01
4.884669417910193800e+01,-8.621295255910473188e+00,1.391108374999891168e+02,-1.120272721690899154e+01
4.968221905535123284e+01,-8.020938601575457128e+00,1.401511168609076776e+02,-1.151758837905515698e+01
4.709200726195305720e+01,-7.573702648998987819e+00,1.386614917229180151e+02,-1.186234033241969499e+01
4.921661886793956597e+01,-7.124354680454604960e+00,1.348056778738823596e+02,-1.229387480952432199e+01
4.430970205270517681e+01,-6.554192332533942178e+00,1.358734916802571604e+02,-1.263816222744643980e+01
4.785629558378503390e+01,-5.931406958505966998e+00,1.353319254925231405e+02,-1.288434259685199734e+01
4.708839497135892316e+01,-5.386761535198326456e+00,1.355779223395394979e+02,-1.304681341725937216e+01
4.723148524817472094e+01,-4.854388351029379045e+00,1.295310539177515921e+02,-1.338096599562661204e+01
4.477763954505567057e+01,-4.336505490007600550e+00,1.313053677088812208e+02,-1.358070569240297942e+01
4.361262342066908104e+01,-3.744027787729559353e+00,1.273647516916062585e+02,-1.359131933245913082e+01
4.163712554529850962e+01,-3.012861628861768004e+00,1.258984702535758515e+02,-1.386851144704470506e+01
4.340453869963426570e+01,-2.505713373667838528e+00,1.254804690527404887e+02,-1.397304830334210379e+01
4.527952562859954355e+01,-1.892283779577145220e+00,1.252273159998401439e+02,-1.403045824799405494e+01
4.347127945738440502e+01,-1.194733569661287076e+00,1.258896012238342621e+02,-1.413095840683102900e+01
4.546846388711108489e+01,-5.402797328467880966e-01,1.216259284532920475e+02,-1.415795060281627471e+01
4.487380627406095357e+01,6.316964454566033685e-03,1.187957685203292186e+02,-1.420053713549306984e+01
4.302642069127356450e+01,6.374062494758230280e-01,1.169664412114449306e+02,-1.405081976331608651e+01
4.215752198664757344e+01,1.180566815335186259e+00,1.154765368856170937e+02,-1.411777892434733772e+01
4.430965661201910422e+01,1.818772189319834309e+00,1.140309864252428582e+02,-1.404003837277201328e+01
4.497012154307851972e+01,2.408849267481665724e+00,1.169548024117821257e+02,-1.397315192251426019e+01
4.425581554802339213e+01,3.145679722703104808e+00,1.127307762149721952e+02,-1.372063572169757606e+01
4.575230070995883125e+01,3.565859102249788304e+00,1.107642220385339016e+02,-1.366003710272504712e+01
4.676392395688837667e+01,4.192909529848782846e+00,1.124960537700457905e+02,-1.348371292319505521e+01
4.347728596071734586e+01,4.888538601603666045e+00,1.092705536267084625e+02,-1.323073287583280155e+01
4.682595521648625692e+01,5.498116090049789406e+00,1.087195183444210187e+02,-1.313727157963629111e+01
4.722082551960312458e+01,5.335223082885392820e+00,1.066738415449227375e+02,-1.314451731491737263e+01
4.600302585528699950e+01,5.987509035085642140e+00,1.056500815620848925e+02,-1.228926660252247594e+01
4.567281767646613844e+01,6.633195471902361362e+00,1.069840100720964529e+02,-1.149465239670923644e+01
4.649022364379949579e+01,7.291792697608063811e+00,1.045816838841777212e+02,-1.063006907179456562e+01
4.938181769061338855e+01,7.809595851437934222e+00,1.062199041790602791e+02,-9.783826537902326592e+00
4.768994776529594759e+01,8.484946525643954018e+00,1.013777829519107598e+02,-9.115970585217068489e+00
4.992798525322443481e+01,9.020933415660680410e+00,1.034061664480328204e+02,-8.182254786430771532e+00
5.317935742485863670e+01,9.583259369033170216e+00,9.978157520274487524e+01,-7.556907706613619879e+00
5.394951583530353645e+01,1.019587174038323241e+01,1.009893776437115775e+02,-6.680340623212961404e+00
5.180250062427649738e+01,1.077268165404861655e+01,9.833493010881264240e+01,-5.771981325768407167e+00
5.271776165345501397e+01,1.131535133091641221e+01,9.902768526280262051e+01,-4.983341721054464379e+00
5.310384596652145461e+01,1.203130996962392274e+01,9.985554640133270254e+01,-4.172115288539105293e+00
5.809491547557932023e+01,1.255052083881754399e+01,9.665400536239678786e+01,-3.388757545818512629e+00
5.815132410561164278e+01,1.311229052648152837e+01,1.001356139262692011e+02,-2.723001744647890465e+00
5.847833843118620933e+01,1.388538435132253035e+01,9.574470486946712811e+01,-1.964943804892559598e+00
5.905565994539620078e+01,1.439426316456039245e+01,9.580298978697878454e+01,-1.066870170364664805e+00
6.352446096445353874e+01,1.507873410697693295e+01,9.725648826299065774e+01,-2.429631062305760980e-01
6.347130327354932433e+01,1.566046529332925985e+01,9.819559976831749282e+01,4.430203132124925225e-01
6.783126648569547967e+01,1.616394537236040563e+01,9.995792976344829128e+01,1.295772816998644439e+00
6.493258861137965710e+01,1.676957424727041257e+01,9.834805868524517791e+01,2.038116612546471362e+00
6.691621037532466687e+01,1.738785675445123147e+01,9.776461799364906824e+01,2.939563831169942354e+00
6.967446638069641551e+01,1.810560216650864263e+01,9.829221755758466372e+01,3.657283566017955678e+00
7.156265629532568084e+01,1.851586036867598040e+01,9.748123674044336440e+01,4.536513991749270502e+00
7.539283718782724009e+01,1.924342171360909504e+01,9.942311123938073081e+01,5.302855571629494058e+00
7.615846731064495145e+01,1.977732558032940346e+01,9.997629597475966534e+01,6.036802085519732408e+00
7.628851701772229887e+01,2.034220446990320497e+01,1.018243962816418673e+02,6.862909022526978653e+00
